t com min rx ry rz
2.3 1.896339 0.3764663 329.7088 352.8575 7.719954
2.32 1.930067 0.4288075 329.0674 352.6901 7.909685
2.34 1.959872 0.4773955 328.4271 352.5191 8.102714
2.36 1.985753 0.5222263 327.7879 352.3447 8.299147
2.38 2.00771 0.5632968 327.1499 352.1665 8.499095
2.4 2.025742 0.6006045 326.5131 351.9846 8.702677
2.42 2.039851 0.6341467 325.8774 351.7987 8.91001
2.44 2.050035 0.6639204 325.243 351.6089 9.121222
2.46 2.056296 0.6899204 324.6097 351.4149 9.336442
2.48 2.058633 0.6878574 323.9778 351.2166 9.555802
2.5 2.057045 0.6786351 323.347 351.0138 9.779451
2.52 2.051534 0.6656799 322.7176 350.8065 10.00753
2.54 2.042099 0.6489942 322.0894 350.5945 10.2402
2.56 2.028739 0.6285772 321.4626 350.3776 10.47761
2.58 2.011456 0.6044307 320.8371 350.1557 10.71994
2.6 1.990249 0.5765536 320.213 349.9285 10.96735
2.62 1.965117 0.5449462 319.5902 349.696 11.22003
2.64 1.936062 0.5096102 318.9689 349.4579 11.47818
2.66 1.903083 0.4705439 318.3491 349.214 11.74199
2.68 1.866179 0.4277492 317.7307 348.9641 12.01166
2.7 1.825352 0.3812251 317.1138 348.708 12.28742
2.72 1.780601 0.3309731 316.4985 348.4455 12.56948
2.74 1.731925 0.2769923 315.8848 348.1763 12.8581
2.76 1.679326 0.2192831 315.2726 347.9003 13.15352
2.78 1.622802 0.1578455 314.6621 347.617 13.45599
2.8 1.562355 0.09267926 314.0533 347.3264 13.76581
2.82 1.497984 0.02378464 313.4463 347.028 14.08323
2.84 1.429689 -0.04883814 312.8409 346.7216 14.40858
2.86 1.357469 -0.1251884 312.2375 346.4068 14.74217
2.88 1.281455 -0.2051229 311.6373 346.0815 15.08658
2.9 1.201876 -0.2884078 311.0428 345.7498 15.43592
2.92 1.119013 -0.374768 310.4546 345.4145 15.78787
2.94 1.033063 -0.4640129 309.8771 345.0851 16.12732
2.96 0.9448882 -0.555279 309.3162 344.7695 16.44101
2.98 0.8543386 -0.6488364 308.7608 344.4931 16.7122
3 0.7628767 -0.7431068 308.2327 344.2512 16.9357
3.02 0.6710248 -0.8375807 307.7354 344.0529 17.10453
3.04 0.579694 -0.9314649 307.271 343.9611 17.16747
3.06 0.490414 -1.023099 306.8548 343.9451 17.15378
3.08 0.4024928 -1.113065 306.483 343.9182 17.1379
3.1 0.316909 -1.200781 306.1181 343.9794 17.03086
3.12 0.2333036 -1.286488 305.757 344.072 16.89697
3.14 0.1539771 -1.367657 305.4266 344.159 16.7848
3.16 0.07837549 -1.445053 305.0972 344.2477 16.6674
3.18 0.007391021 -1.517655 304.7943 344.3223 16.55029
3.2 -0.05925161 -1.585345 304.5563 344.2693 16.55645
3.22 -0.1193027 -1.646243 304.3539 344.1988 16.5742
3.24 -0.1745095 -1.702208 304.1714 344.1282 16.58459
