t com min rx ry rz
1.92 1.419249 -0.2805014 283.8338 -0.003279857 0.003103082
1.94 1.400768 -0.2990227 283.8248 -0.003488032 0.003336388
1.96 1.380573 -0.3191328 283.8436 -0.003686608 0.003560153
1.98 1.358984 -0.340493 283.8941 -0.003873275 0.003772086
2 1.336344 -0.3627396 283.9803 -0.004045248 0.003969401
2.02 1.313012 -0.3854861 284.1069 -0.004199625 0.004149196
2.04 1.289358 -0.4083319 284.2789 -0.004333535 0.004308599
2.06 1.265755 -0.4308662 284.5015 -0.004440138 0.004440555
2.08 1.242584 -0.4526608 284.7803 -0.004510144 0.004535399
2.1 1.220229 -0.4732823 285.1211 -0.004535538 0.004584731
2.12 1.199055 -0.4922967 285.5297 -0.00451031 0.004582158
2.14 1.179408 -0.5092864 286.0115 -0.004430965 0.004523824
2.16 1.161597 -0.5238576 286.572 -0.004296874 0.004408765
2.18 1.145885 -0.5356495 287.2155 -0.004110884 0.004239579
2.2 1.132483 -0.5443468 287.9457 -0.003877341 0.004020344
2.22 1.121541 -0.5496829 288.7654 -0.003603361 0.003758006
2.24 1.113144 -0.5514519 289.6759 -0.003297604 0.003461137
2.26 1.107312 -0.5495098 290.6772 -0.002969043 0.003138655
2.28 1.103996 -0.5437808 291.7682 -0.002627291 0.002800243
2.3 1.10308 -0.5342607 292.946 -0.002281481 0.002455191
2.32 1.104388 -0.5210168 294.2065 -0.001939283 0.002111354
2.34 1.107685 -0.5041919 295.5443 -0.001607158 0.001775442
2.36 1.112671 -0.4840119 296.9529 -0.001290187 0.001452836
2.38 1.119 -0.4607716 298.4252 -0.0009923751 0.001147927
2.4 1.126294 -0.4348226 299.9532 -0.0007162186 0.000863603
2.42 1.134165 -0.4179907 301.529 -0.0004624083 0.0006008341
2.44 1.14223 -0.4051709 303.1443 -0.000231083 0.0003600802
2.46 1.150125 -0.3911588 304.7918 -2.141162E-05 0.0001407481
2.48 1.157518 -0.3762522 306.4644 0.000168354 -5.882742E-05
2.5 1.164109 -0.3607335 308.156 0.0003402353 -0.0002406615
2.52 1.169621 -0.3448803 309.8606 0.0004961185 -0.0004066387
2.54 1.173805 -0.3289564 311.5733 0.000637826 -0.0005586121
2.56 1.176439 -0.3132122 313.2895 0.0007668852 -0.0006981038
2.58 1.177326 -0.2978802 315.0054 0.0008847454 -0.000826587
2.6 1.176314 -0.2831717 316.7164 0.0009926467 -0.0009453161
2.62 1.173349 -0.2692711 318.4122 0.001091859 -0.001055669
2.64 1.168488 -0.2563417 320.0775 0.001183772 -0.00115927
2.66 1.161891 -0.2445366 321.6923 0.001269759 -0.001257801
2.68 1.153808 -0.2340117 323.2337 0.001351292 -0.00135316
2.7 1.144562 -0.224926 324.6768 0.00142975 -0.001447163
2.72 1.134521 -0.2457285 325.9966 0.001506645 -0.001541909
2.74 1.124076 -0.2962952 327.1687 0.001583358 -0.001639321
