t com min rx ry rz
2.08 0.6350855 0.06142259 71.92771 191.3349 177.4638
2.1 0.6400811 0.003614545 69.41632 191.3385 177.3856
2.12 0.6411527 -0.05688834 66.90742 191.3505 177.3151
2.14 0.6383003 -0.119971 64.40103 191.3685 177.25
2.16 0.6322003 -0.1823483 61.99108 191.4384 177.2332
2.18 0.6233974 -0.2422113 59.73032 191.5684 177.2717
2.2 0.6126145 -0.2981097 57.68051 191.6904 177.3044
2.22 0.6003839 -0.3485514 55.87285 191.8788 177.3972
2.24 0.5874211 -0.392801 54.35484 192.0549 177.4763
2.26 0.5742051 -0.4294481 53.16834 192.2812 177.5898
2.28 0.5602739 -0.4607885 52.23775 192.554 177.7407
2.3 0.5463187 -0.4852388 51.60076 192.9128 177.9638
2.32 0.5319652 -0.5058041 51.18154 193.2558 178.1667
2.34 0.517519 -0.5215067 51.00055 193.6205 178.3869
2.36 0.5031872 -0.5351996 51.06896 193.6182 178.3198
2.38 0.4906554 -0.5364046 51.61723 193.7587 178.3682
2.4 0.4776813 -0.5334715 52.32924 194.0476 178.536
2.42 0.4654306 -0.5231721 53.36261 194.3457 178.7071
2.44 0.453361 -0.5065663 54.61014 194.8309 179.0281
2.46 0.4422507 -0.4825172 56.14592 195.332 179.3671
2.48 0.4309151 -0.4558088 57.84131 195.6894 179.6032
2.5 0.4205275 -0.4201669 59.86056 196.0743 179.8795
2.52 0.4100167 -0.3808749 62.09089 196.2198 179.9489
2.54 0.3985577 -0.3386691 64.46187 196.3832 180.0438
2.56 0.3860546 -0.2935051 66.96751 196.5 180.0956
2.58 0.372642 -0.2443293 69.62995 196.6536 180.1817
2.6 0.3578753 -0.1918945 72.43039 196.8522 180.3121
2.62 0.3413671 -0.1371452 75.35062 197.1579 180.5495
2.64 0.3222774 -0.08197975 78.33823 197.5709 180.8949
2.66 0.2999086 -0.0286411 81.34776 198.3126 181.5679
2.68 0.2737388 0.02165371 84.35014 199.7786 182.9659
2.7 0.243645 0.06856787 87.33817 204.4629 187.5823
2.72 0.2096272 0.09294283 89.45142 328.1365 311.1882
2.74 0.1716854 -0.0243893 86.60673 8.90094 351.8851
2.76 0.1298196 -0.1450993 83.62277 12.15584 355.0723
2.78 0.08876936 -0.2533432 81.02454 13.55701 356.4061
2.8 0.05145683 -0.3400301 79.01077 14.93698 357.7119
2.82 0.01800942 -0.4113532 77.47968 15.517 358.2241
2.84 -0.01092781 -0.4644745 76.43453 16.25377 358.8842
2.86 -0.03447708 -0.4996581 75.89111 16.8423 359.3962
2.88 -0.05367835 -0.5239704 75.67791 16.95681 359.454
2.9 -0.06874241 -0.5366706 75.74393 17.18997 359.6204
2.92 -0.07799874 -0.5342504 76.19028 17.37514 359.7361
2.94 -0.08201254 -0.5198803 76.9944 16.95492 359.2642
2.96 -0.08263677 -0.493468 78.01736 17.32375 359.5594
2.98 -0.07912655 -0.4563365 79.30016 17.97234 0.1397067
3 -0.07186218 -0.41155 80.77899 18.11705 0.2203761
3.02 -0.06117754 -0.3580472 82.44433 17.74132 359.7802
3.04 -0.04802062 -0.3008585 84.13366 18.00209 359.9723
3.06 -0.03092482 -0.2387012 85.93253 19.44022 1.340485
3.08 -0.00938686 -0.1665651 87.88243 21.09946 2.933078
