t com min rx ry rz
1.84 -1.915737 -3.466104 339.3273 249.5289 239.7622
1.86 -1.848861 -3.407759 340.1269 249.7831 239.6072
1.88 -1.774293 -3.344127 341.2505 250.1431 239.4322
1.9 -1.691461 -3.274343 342.8023 250.4994 239.2745
1.92 -1.599893 -3.190437 343.9354 250.616 239.2474
1.94 -1.502511 -3.096406 344.4381 250.8836 239.224
1.96 -1.398467 -2.996465 345.1207 250.9116 239.2113
1.98 -1.286896 -2.890147 346.1033 250.8813 239.2128
2 -1.168237 -2.774899 346.7136 251.0547 239.1844
2.02 -1.044344 -2.655497 347.6393 251.3321 239.1669
2.04 -0.9153121 -2.530799 349.0854 251.2415 239.278
2.06 -0.7805796 -2.400081 350.6676 251.3483 239.3643
2.08 -0.6387238 -2.258847 351.9323 251.2395 239.5578
2.1 -0.4911926 -2.11111 353.4042 251.0421 239.7752
2.12 -0.3391836 -1.957473 355.0514 250.9742 240.0244
2.14 -0.1821811 -1.796488 356.3688 251.3022 240.3433
2.16 -0.0206099 -1.628352 358.2006 251.3435 240.7524
2.18 0.1447513 -1.454876 359.4513 251.4172 241.2134
2.2 0.3118823 -1.280399 0.831714 251.5691 241.7414
2.22 0.4803616 -1.103937 2.348612 251.828 242.3748
2.24 0.6486928 -0.9251475 3.935642 252.1267 243.0851
2.26 0.8163818 -0.7440811 5.719938 252.422 243.8799
2.28 0.9822777 -0.5619216 7.516577 252.736 244.745
2.3 1.145471 -0.3796501 9.339842 253.0901 245.6706
2.32 1.305353 -0.1983078 11.14083 253.4744 246.6367
2.34 1.461479 -0.01860428 12.9373 253.8927 247.6279
2.36 1.61368 0.1591282 14.72455 254.3459 248.6393
2.38 1.761957 0.3348515 16.50189 254.8353 249.6732
2.4 1.90631 0.5085249 18.26855 255.3625 250.732
2.42 2.04674 0.6801052 20.02374 255.9296 251.8184
2.44 2.183245 0.8495474 21.76656 256.5383 252.9349
2.46 2.315826 1.016804 23.49606 257.191 254.0847
2.48 2.444484 1.181826 25.21121 257.8902 255.2707
2.5 2.569217 1.344562 26.91088 258.6385 256.4962
2.52 2.690026 1.504961 28.59383 259.439 257.7649
2.54 2.806911 1.662965 30.25873 260.2948 259.0803
2.56 2.919873 1.818521 31.90408 261.2094 260.4466
2.58 3.02891 1.971569 33.52827 262.1868 261.8681
2.6 3.134023 2.12205 35.12951 263.231 263.3493
2.62 3.235213 2.269904 36.70584 264.3466 264.8952
2.64 3.332478 2.415069 38.25512 265.5381 266.5108
2.66 3.425819 2.55748 39.77494 266.8109 268.2018
2.68 3.515237 2.697074 41.26272 268.1703 269.9737
2.7 3.60073 2.763293 42.71556 269.6218 271.8327
2.72 3.682299 2.825407 44.13033 271.1714 273.7849
2.74 3.759944 2.884473 45.50354 272.8251 275.8367
2.76 3.833666 2.940513 46.83143 274.5888 277.9942
2.78 3.903463 2.993543 48.10988 276.4685 280.2638
2.8 3.969337 3.043582 49.33446 278.4696 282.6512
2.82 4.031286 3.090648 50.50034 280.5971 285.1617
2.84 4.089311 3.134755 51.60246 282.8552 287.7996
2.86 4.143413 3.175918 52.63536 285.2466 290.5681
2.88 4.19359 3.214148 53.59344 287.7726 293.4685
2.9 4.239843 3.249458 54.47091 290.4323 296.5003
2.92 4.282173 3.281858 55.26196 293.2224 299.6604
2.94 4.320578 3.311357 55.96082 296.1366 302.9427
2.96 4.35506 3.337965 56.56203 299.1653 306.3378
2.98 4.385617 3.361683 57.06056 302.2956 309.8332
3 4.41225 3.38252 57.45199 305.5113 313.4127
3.02 4.434959 3.400479 57.73278 308.7929 317.0572
3.04 4.453745 3.415564 57.90033 312.1185 320.7449
3.06 4.468606 3.427773 57.95321 315.4644 324.4523
3.08 4.479543 3.437109 57.89121 318.8059 328.155
3.1 4.486557 3.443569 57.71532 322.1187 331.8288
3.12 4.489646 3.447152 57.42775 325.3796 335.4507
3.14 4.488811 3.447853 57.03174 328.5675 339
3.16 4.484053 3.445668 56.53151 331.664 342.4583
3.18 4.47537 3.44059 55.93198 334.6541 345.8109
3.2 4.462763 3.432612 55.23865 337.526 349.0462
3.22 4.446233 3.421726 54.45732 340.2715 352.1563
3.24 4.425778 3.407921 53.594 342.8854 355.1359
3.26 4.401399 3.391188 52.65469 345.3652 357.9831
3.28 4.373096 3.356398 51.64532 347.7109 0.6978784
