t com min rx ry rz
1.96 0.6902581 0.3704559 85.95199 175.7773 176.0466
1.98 0.7100145 0.3507991 83.63567 177.3644 177.623
2 0.7258468 0.3278455 81.31939 178.1071 178.3551
2.02 0.7377551 0.3016573 79.00464 178.5393 178.7765
2.04 0.7457394 0.2722942 76.69173 178.8231 179.0497
2.06 0.7497997 0.2398155 74.38098 179.0247 179.2404
2.08 0.749936 0.2042775 72.07241 179.1758 179.3808
2.1 0.7461483 0.1657357 69.76608 179.2939 179.4879
2.12 0.7384366 0.124244 67.46195 179.3891 179.5722
2.14 0.726801 0.07985365 65.1601 179.4677 179.6398
2.16 0.7112413 0.03261483 62.86054 179.5342 179.6952
2.18 0.6917576 -0.01742494 60.56322 179.5913 179.7411
2.2 0.6683499 -0.07022011 58.2682 179.6411 179.7796
2.22 0.6412321 -0.1250899 56.01058 179.6747 179.8062
2.24 0.6109458 -0.1805655 53.8723 179.7021 179.8486
2.26 0.5783138 -0.2348543 51.95438 179.7319 179.9165
2.28 0.5437936 -0.2874514 50.28801 179.7345 179.9364
2.3 0.5083625 -0.3367457 48.96391 179.7642 179.9673
2.32 0.4727825 -0.3819083 48.02246 179.7714 179.9517
2.34 0.4374219 -0.4231299 47.43517 179.7448 179.9319
2.36 0.4028851 -0.4596486 47.23434 179.6793 179.8641
2.38 0.3694526 -0.4914347 47.40129 179.665 179.9623
2.4 0.3371866 -0.5186421 47.90903 179.6676 180.1232
2.42 0.3063953 -0.5405788 48.7816 179.6612 180.2802
2.44 0.2774571 -0.5566446 50.01551 179.7234 180.5816
2.46 0.2505295 -0.5671092 51.54071 179.8098 180.9328
2.48 0.2261404 -0.5701107 53.44764 179.7866 181.2175
2.5 0.2036456 -0.5670701 55.62457 179.8557 181.6582
2.52 0.1831439 -0.5572255 58.09403 180.0106 182.1915
2.54 0.1652688 -0.5390257 60.89305 180.2953 182.7867
2.56 0.1496971 -0.5123345 64.01763 180.7148 183.453
2.58 0.1356065 -0.4796827 67.31398 181.1725 184.2286
2.6 0.1237738 -0.4383109 70.89433 182.0692 185.4061
2.62 0.1136838 -0.3894604 74.69185 183.4992 187.051
2.64 0.1052822 -0.33349 78.66815 185.9815 189.762
2.66 0.0986325 -0.2713563 82.71425 191.8286 195.8322
2.68 0.09402475 -0.2064691 86.46078 210.094 214.3413
2.7 0.09183831 -0.1743051 87.77437 290.432 294.8665
2.72 0.0914868 -0.2348381 85.13941 331.1286 335.6971
