2,147.9492
3,161.1104
4,124.7974
5,143.1981
6,134.4294
7,124.952
8,118.118
9,124.882
10,101.6348
11,99.08655
12,76.88349
13,93.04156
14,81.78603
15,86.86224
16,92.96112
17,85.51827
18,82.0961
19,60.47443
20,60.74806
21,69.28149
22,69.83322
23,74.72913
24,67.46094
25,50.11338
26,49.0564
27,52.22229
28,48.43147
29,40.527
30,35.12212
31,30.12778
32,30.03336
33,25.55027
34,7.651649
35,7.784689
36,30.8374
37,8.077003
38,7.819173
39,8.631191
40,11.30582
41,10.87093
42,10.42197
43,10.60481
44,9.830832
45,17.03506
46,9.303669
