3,161.8558
4,149.6553
5,174.9615
6,189.3388
7,167.6071
8,191.851
9,192.9381
10,172.8436
11,172.0279
12,169.5311
13,158.0222
14,175.5042
15,184.1212
16,169.9375
17,180.1212
18,175.2042
19,152.7767
20,184.2089
21,180.2447
22,155.2624
23,183.0886
24,187.082
25,163.7379
26,169.81
27,172.5601
28,163.7877
29,183.6334
30,180.8436
31,178.2823
32,147.6797
33,184.8164
34,183.235
35,145.4302
36,186.5378
37,174.6916
38,149.1256
39,184.6765
40,184.2501
41,149.6466
42,187.1322
43,176.0712
44,135.4941
45,159.1114
46,161.9396
47,141.4661
48,160.6136
49,165.2927
50,139.703
51,167.3309
52,167.9141
53,136.8336
54,168.1476
55,178.2586
56,143.0916
57,169.8254
58,163.5821
59,150.2958
60,170.3546
61,169.3663
62,149.6201
63,160.731
64,159.2351
65,158.5398
66,144.0924
67,181.9549
68,176.1692
69,145.9821
70,181.9273
71,169.5556
72,136.8417
73,181.1599
74,180.5227
75,143.2271
76,181.9092
77,180.9265
78,145.9506
79,184.8431
80,182.149
81,136.7463
82,177.3235
83,176.6181
84,142.1495
85,176.95
86,177.0953
87,152.5371
88,179.0522
89,180.6261
90,158.8615
91,179.598
92,174.8232
93,163.2093
94,179.616
95,177.4685
96,158.72
97,178.7434
98,180.2076
99,170.3197
100,146.7589
